member_casual,day_of_week,promedio_minutos,cantidad_viajes
casual,Lunes,28.18136514,222878
casual,Martes,23.3349761,170586
casual,Miércoles,20.90043175,136654
casual,Jueves,21.57285603,165569
casual,Viernes,21.13674386,169842
casual,Sábado,23.16457085,197687
casual,Domingo,27.13865913,269218
member,Lunes,14.24422808,206107
member,Martes,12.23183412,274622
member,Miércoles,12.29514443,260838
member,Jueves,12.34622048,295020
member,Viernes,12.43024581,278999
member,Sábado,12.64093414,260058
member,Domingo,14.29202112,239075
